problem_index,family,corruption_type,is_correct,verdict,caught,difference_multiple_of_M
0,power,correct,1,NOT_RULED_OUT,,1
0,power,random_offset,0,RULED_OUT_WRONG,1,0
0,power,digit_transpose,0,RULED_OUT_WRONG,1,0
0,power,off_by_power10,0,RULED_OUT_WRONG,1,0
0,power,sign_flip,0,RULED_OUT_WRONG,1,0
0,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
0,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
1,factorial,correct,1,NOT_RULED_OUT,,1
1,factorial,random_offset,0,RULED_OUT_WRONG,1,0
1,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
1,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
1,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
1,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
1,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
2,fibonacci,correct,1,NOT_RULED_OUT,,1
2,fibonacci,random_offset,0,RULED_OUT_WRONG,1,0
2,fibonacci,digit_transpose,0,RULED_OUT_WRONG,1,0
2,fibonacci,off_by_power10,0,RULED_OUT_WRONG,1,0
2,fibonacci,sign_flip,0,RULED_OUT_WRONG,1,0
2,fibonacci,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
2,fibonacci,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
3,bigsum,correct,1,NOT_RULED_OUT,,1
3,bigsum,random_offset,0,RULED_OUT_WRONG,1,0
3,bigsum,digit_transpose,0,RULED_OUT_WRONG,1,0
3,bigsum,off_by_power10,0,RULED_OUT_WRONG,1,0
3,bigsum,sign_flip,0,RULED_OUT_WRONG,1,0
3,bigsum,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
3,bigsum,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
4,bigprod,correct,1,NOT_RULED_OUT,,1
4,bigprod,random_offset,0,RULED_OUT_WRONG,1,0
4,bigprod,digit_transpose,0,RULED_OUT_WRONG,1,0
4,bigprod,off_by_power10,0,RULED_OUT_WRONG,1,0
4,bigprod,sign_flip,0,RULED_OUT_WRONG,1,0
4,bigprod,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
4,bigprod,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
5,power,correct,1,NOT_RULED_OUT,,1
5,power,random_offset,0,RULED_OUT_WRONG,1,0
5,power,digit_transpose,0,RULED_OUT_WRONG,1,0
5,power,off_by_power10,0,RULED_OUT_WRONG,1,0
5,power,sign_flip,0,RULED_OUT_WRONG,1,0
5,power,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
5,power,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
6,factorial,correct,1,NOT_RULED_OUT,,1
6,factorial,random_offset,0,RULED_OUT_WRONG,1,0
6,factorial,digit_transpose,0,RULED_OUT_WRONG,1,0
6,factorial,off_by_power10,0,RULED_OUT_WRONG,1,0
6,factorial,sign_flip,0,RULED_OUT_WRONG,1,0
6,factorial,off_by_multiple_of_9,0,RULED_OUT_WRONG,1,0
6,factorial,off_by_combined_modulus,0,NOT_RULED_OUT,0,1
