problem_id,family,parse_status,is_arithmetic_error,verifier_verdict,error_caught,difference_multiple_of_M,difference,verifier_seconds,exact_check_seconds,true_digits,claimed_digits
pow_17_19,power,parsed,1,RULED_OUT_WRONG,1,0,239072435684856085935200,0.000061100,0.000006100,24,12
pow_97_13,power,parsed,1,RULED_OUT_WRONG,1,0,67302709015211646074679070,0.000024300,0.000002400,26,16
pow_12345_9,power,parsed,1,RULED_OUT_WRONG,1,0,6659166111488547392792302968488157945,0.000049100,0.000005100,37,24
pow_99991_7,power,parsed,1,RULED_OUT_WRONG,1,0,99937017007448729622600082003917032,0.000035100,0.000002600,35,1
pow_2_256,power,parsed,1,RULED_OUT_WRONG,1,0,115792089237316195423570985008687907853269984665640564039439137263839420088320,0.000021800,0.000003000,78,20
pow_37_31,power,parsed,1,RULED_OUT_WRONG,1,0,4113897303606771042156868599311296618501573925166,0.000037400,0.000003800,49,10
fact_18,factorial,parsed,1,RULED_OUT_WRONG,1,0,6400559305728000,0.000042300,0.000010800,16,13
fact_25,factorial,parsed,1,RULED_OUT_WRONG,1,0,15511210043330985984000000,0.000071700,0.000023700,26,1
fact_30,factorial,parsed,1,RULED_OUT_WRONG,1,0,265252859812191058636308480000000,0.000026600,0.000003100,33,1
fact_40,factorial,parsed,1,RULED_OUT_WRONG,1,0,815915283247897734345611269596115894271976000000,0.000026200,0.000003600,48,8
fact_50,factorial,parsed,1,RULED_OUT_WRONG,1,0,30414093201713378043612608166064768844377641568952583750104800000,0.000048400,0.000004500,65,16
fact_75,factorial,parsed,1,RULED_OUT_WRONG,1,0,24809140811395398091946477116594033660926243886570122837795894512655842677572867409443815424000000000000000000,0.000052200,0.000005700,110,1
sum_big_1,bigsum,parsed,1,RULED_OUT_WRONG,1,0,2487531352847,0.000168200,0.000005300,13,13
sum_big_2,bigsum,parsed,1,RULED_OUT_WRONG,1,0,59999997501,0.000071900,0.000003700,12,12
sum_big_3,bigsum,parsed,1,RULED_OUT_WRONG,1,0,1432097767432,0.000048500,0.000003400,13,1
sum_big_4,bigsum,parsed,1,RULED_OUT_WRONG,1,0,101195900,0.000072300,0.000004200,11,11
prod_big_1,bigprod,parsed,1,RULED_OUT_WRONG,1,0,4527162427416416184750,0.000045200,0.000002800,22,20
prod_big_2,bigprod,parsed,1,RULED_OUT_WRONG,1,0,1003735217229590180,0.000125700,0.000004200,19,10
prod_big_3,bigprod,parsed,1,RULED_OUT_WRONG,1,0,8364473672924554873520658,0.000072900,0.000003300,25,13
prod_big_4,bigprod,parsed,1,RULED_OUT_WRONG,1,0,999923000839988440,0.000053400,0.000003600,18,9
fib_80,fibonacci,parsed,1,RULED_OUT_WRONG,1,0,23416728348467605,0.000130100,0.000010100,17,2
fib_120,fibonacci,parsed,1,RULED_OUT_WRONG,1,0,5358359254990966640871806,0.000062100,0.000009500,25,2
fib_200,fibonacci,parsed,1,RULED_OUT_WRONG,1,0,280571172992510140037611932413038677182760,0.000116300,0.000013800,42,4
mod_route_1,modular_word_bigsum,parsed,1,RULED_OUT_WRONG,1,0,73,0.000030800,0.000002400,3,2
mod_route_2,modular_word_bigsum,parsed,1,RULED_OUT_WRONG,1,0,8,0.000085100,0.000002800,2,2
mod_route_3,modular_word_bigsum,parsed,1,RULED_OUT_WRONG,1,0,69,0.000078200,0.000005000,3,2
easy_sum_1,bigsum,parsed,0,NOT_RULED_OUT,0,1,0,0.000035000,0.000002500,1,1
easy_sum_2,bigsum,parsed,1,RULED_OUT_WRONG,1,0,80,0.000066400,0.000005300,4,4
easy_prod_1,bigprod,parsed,0,NOT_RULED_OUT,0,1,0,0.000030100,0.000001800,3,3
easy_fact_1,factorial,parsed,0,NOT_RULED_OUT,0,1,0,0.000054400,0.000025500,5,5
easy_power_1,power,parsed,0,NOT_RULED_OUT,0,1,0,0.000062300,0.000001500,5,5
easy_fib_1,fibonacci,parsed,0,NOT_RULED_OUT,0,1,0,0.000043900,0.000005500,3,3
