setting,model,metric_type,label,accuracy,precision,recall,f1,support
base_only,word_unigram_nb,overall,ALL,0.443038,,,,79
base_only,word_unigram_nb,per_role,BACKGROUND,,0.571429,0.400000,0.470588,10
base_only,word_unigram_nb,per_role,CLAIM,,0.214286,0.300000,0.250000,10
base_only,word_unigram_nb,per_role,DEFINE,,0.428571,0.300000,0.352941,10
base_only,word_unigram_nb,per_role,METHOD,,0.266667,0.400000,0.320000,10
base_only,word_unigram_nb,per_role,RESULT,,0.750000,0.300000,0.428571,10
base_only,word_unigram_nb,per_role,LIMITATION,,0.600000,0.600000,0.600000,10
base_only,word_unigram_nb,per_role,NEXT_STEP,,0.833333,0.555556,0.666667,9
base_only,word_unigram_nb,per_role,EXAMPLE,,0.437500,0.700000,0.538462,10
base_only,word_unigram_bigram_nb,overall,ALL,0.443038,,,,79
base_only,word_unigram_bigram_nb,per_role,BACKGROUND,,0.500000,0.200000,0.285714,10
base_only,word_unigram_bigram_nb,per_role,CLAIM,,0.230769,0.300000,0.260870,10
base_only,word_unigram_bigram_nb,per_role,DEFINE,,0.461538,0.600000,0.521739,10
base_only,word_unigram_bigram_nb,per_role,METHOD,,0.230769,0.300000,0.260870,10
base_only,word_unigram_bigram_nb,per_role,RESULT,,0.666667,0.400000,0.500000,10
base_only,word_unigram_bigram_nb,per_role,LIMITATION,,0.666667,0.600000,0.631579,10
base_only,word_unigram_bigram_nb,per_role,NEXT_STEP,,0.625000,0.555556,0.588235,9
base_only,word_unigram_bigram_nb,per_role,EXAMPLE,,0.461538,0.600000,0.521739,10
base_only,char_3_5gram_nb,overall,ALL,0.405063,,,,79
base_only,char_3_5gram_nb,per_role,BACKGROUND,,0.666667,0.200000,0.307692,10
base_only,char_3_5gram_nb,per_role,CLAIM,,0.307692,0.400000,0.347826,10
base_only,char_3_5gram_nb,per_role,DEFINE,,0.857143,0.600000,0.705882,10
base_only,char_3_5gram_nb,per_role,METHOD,,0.200000,0.500000,0.285714,10
base_only,char_3_5gram_nb,per_role,RESULT,,0.400000,0.200000,0.266667,10
base_only,char_3_5gram_nb,per_role,LIMITATION,,0.625000,0.500000,0.555556,10
base_only,char_3_5gram_nb,per_role,NEXT_STEP,,0.571429,0.444444,0.500000,9
base_only,char_3_5gram_nb,per_role,EXAMPLE,,0.363636,0.400000,0.380952,10
base_only,centroid,overall,ALL,0.455696,,,,79
base_only,centroid,per_role,BACKGROUND,,0.400000,0.200000,0.266667,10
base_only,centroid,per_role,CLAIM,,0.266667,0.400000,0.320000,10
base_only,centroid,per_role,DEFINE,,0.466667,0.700000,0.560000,10
base_only,centroid,per_role,METHOD,,0.307692,0.400000,0.347826,10
base_only,centroid,per_role,RESULT,,0.333333,0.200000,0.250000,10
base_only,centroid,per_role,LIMITATION,,0.750000,0.600000,0.666667,10
base_only,centroid,per_role,NEXT_STEP,,0.800000,0.444444,0.571429,9
base_only,centroid,per_role,EXAMPLE,,0.583333,0.700000,0.636364,10
base_plus_boundary_train,word_unigram_nb,overall,ALL,0.455696,,,,79
base_plus_boundary_train,word_unigram_nb,per_role,BACKGROUND,,0.571429,0.400000,0.470588,10
base_plus_boundary_train,word_unigram_nb,per_role,CLAIM,,0.333333,0.800000,0.470588,10
base_plus_boundary_train,word_unigram_nb,per_role,DEFINE,,0.666667,0.200000,0.307692,10
