setting,model,prediction_column,taxonomy,accuracy,previous_best,delta
base_only,word_unigram_nb,pred_base_only_word_unigram_nb,fine_8,0.443038,0.456000,-0.012962
base_only,word_unigram_nb,pred_base_only_word_unigram_nb,coarse_5,0.556962,0.582000,-0.025038
base_only,word_unigram_nb,pred_base_only_word_unigram_nb,coarse_4,0.620253,0.633000,-0.012747
base_only,word_unigram_nb,pred_base_only_word_unigram_nb,coarse_3,0.810127,0.810000,0.000127
base_only,word_unigram_bigram_nb,pred_base_only_word_unigram_bigram_nb,fine_8,0.443038,0.456000,-0.012962
base_only,word_unigram_bigram_nb,pred_base_only_word_unigram_bigram_nb,coarse_5,0.556962,0.582000,-0.025038
base_only,word_unigram_bigram_nb,pred_base_only_word_unigram_bigram_nb,coarse_4,0.632911,0.633000,-0.000089
base_only,word_unigram_bigram_nb,pred_base_only_word_unigram_bigram_nb,coarse_3,0.810127,0.810000,0.000127
base_only,char_3_5gram_nb,pred_base_only_char_3_5gram_nb,fine_8,0.405063,0.456000,-0.050937
base_only,char_3_5gram_nb,pred_base_only_char_3_5gram_nb,coarse_5,0.481013,0.582000,-0.100987
base_only,char_3_5gram_nb,pred_base_only_char_3_5gram_nb,coarse_4,0.556962,0.633000,-0.076038
base_only,char_3_5gram_nb,pred_base_only_char_3_5gram_nb,coarse_3,0.784810,0.810000,-0.025190
base_only,centroid,pred_base_only_centroid,fine_8,0.455696,0.456000,-0.000304
base_only,centroid,pred_base_only_centroid,coarse_5,0.582278,0.582000,0.000278
base_only,centroid,pred_base_only_centroid,coarse_4,0.620253,0.633000,-0.012747
base_only,centroid,pred_base_only_centroid,coarse_3,0.797468,0.810000,-0.012532
base_plus_boundary_train,word_unigram_nb,pred_base_plus_boundary_train_word_unigram_nb,fine_8,0.455696,0.456000,-0.000304
base_plus_boundary_train,word_unigram_nb,pred_base_plus_boundary_train_word_unigram_nb,coarse_5,0.556962,0.582000,-0.025038
base_plus_boundary_train,word_unigram_nb,pred_base_plus_boundary_train_word_unigram_nb,coarse_4,0.594937,0.633000,-0.038063
base_plus_boundary_train,word_unigram_nb,pred_base_plus_boundary_train_word_unigram_nb,coarse_3,0.797468,0.810000,-0.012532
base_plus_boundary_train,word_unigram_bigram_nb,pred_base_plus_boundary_train_word_unigram_bigram_nb,fine_8,0.455696,0.456000,-0.000304
base_plus_boundary_train,word_unigram_bigram_nb,pred_base_plus_boundary_train_word_unigram_bigram_nb,coarse_5,0.569620,0.582000,-0.012380
base_plus_boundary_train,word_unigram_bigram_nb,pred_base_plus_boundary_train_word_unigram_bigram_nb,coarse_4,0.607595,0.633000,-0.025405
base_plus_boundary_train,word_unigram_bigram_nb,pred_base_plus_boundary_train_word_unigram_bigram_nb,coarse_3,0.822785,0.810000,0.012785
base_plus_boundary_train,char_3_5gram_nb,pred_base_plus_boundary_train_char_3_5gram_nb,fine_8,0.417722,0.456000,-0.038278
base_plus_boundary_train,char_3_5gram_nb,pred_base_plus_boundary_train_char_3_5gram_nb,coarse_5,0.531646,0.582000,-0.050354
base_plus_boundary_train,char_3_5gram_nb,pred_base_plus_boundary_train_char_3_5gram_nb,coarse_4,0.607595,0.633000,-0.025405
base_plus_boundary_train,char_3_5gram_nb,pred_base_plus_boundary_train_char_3_5gram_nb,coarse_3,0.810127,0.810000,0.000127
base_plus_boundary_train,centroid,pred_base_plus_boundary_train_centroid,fine_8,0.531646,0.456000,0.075646
base_plus_boundary_train,centroid,pred_base_plus_boundary_train_centroid,coarse_5,0.620253,0.582000,0.038253
base_plus_boundary_train,centroid,pred_base_plus_boundary_train_centroid,coarse_4,0.696203,0.633000,0.063203
base_plus_boundary_train,centroid,pred_base_plus_boundary_train_centroid,coarse_3,0.822785,0.810000,0.012785
base_plus_boundary_train_dev,word_unigram_nb,pred_base_plus_boundary_train_dev_word_unigram_nb,fine_8,0.468354,0.456000,0.012354
base_plus_boundary_train_dev,word_unigram_nb,pred_base_plus_boundary_train_dev_word_unigram_nb,coarse_5,0.582278,0.582000,0.000278
base_plus_boundary_train_dev,word_unigram_nb,pred_base_plus_boundary_train_dev_word_unigram_nb,coarse_4,0.620253,0.633000,-0.012747
base_plus_boundary_train_dev,word_unigram_nb,pred_base_plus_boundary_train_dev_word_unigram_nb,coarse_3,0.810127,0.810000,0.000127
base_plus_boundary_train_dev,word_unigram_bigram_nb,pred_base_plus_boundary_train_dev_word_unigram_bigram_nb,fine_8,0.430380,0.456000,-0.025620
base_plus_boundary_train_dev,word_unigram_bigram_nb,pred_base_plus_boundary_train_dev_word_unigram_bigram_nb,coarse_5,0.569620,0.582000,-0.012380
base_plus_boundary_train_dev,word_unigram_bigram_nb,pred_base_plus_boundary_train_dev_word_unigram_bigram_nb,coarse_4,0.620253,0.633000,-0.012747
base_plus_boundary_train_dev,word_unigram_bigram_nb,pred_base_plus_boundary_train_dev_word_unigram_bigram_nb,coarse_3,0.822785,0.810000,0.012785
base_plus_boundary_train_dev,char_3_5gram_nb,pred_base_plus_boundary_train_dev_char_3_5gram_nb,fine_8,0.417722,0.456000,-0.038278
base_plus_boundary_train_dev,char_3_5gram_nb,pred_base_plus_boundary_train_dev_char_3_5gram_nb,coarse_5,0.544304,0.582000,-0.037696
base_plus_boundary_train_dev,char_3_5gram_nb,pred_base_plus_boundary_train_dev_char_3_5gram_nb,coarse_4,0.607595,0.633000,-0.025405
base_plus_boundary_train_dev,char_3_5gram_nb,pred_base_plus_boundary_train_dev_char_3_5gram_nb,coarse_3,0.810127,0.810000,0.000127
base_plus_boundary_train_dev,centroid,pred_base_plus_boundary_train_dev_centroid,fine_8,0.518987,0.456000,0.062987
base_plus_boundary_train_dev,centroid,pred_base_plus_boundary_train_dev_centroid,coarse_5,0.607595,0.582000,0.025595
base_plus_boundary_train_dev,centroid,pred_base_plus_boundary_train_dev_centroid,coarse_4,0.683544,0.633000,0.050544
base_plus_boundary_train_dev,centroid,pred_base_plus_boundary_train_dev_centroid,coarse_3,0.822785,0.810000,0.012785
