setting,model,testset,metric,label,value
old_train_only,word_unigram_nb,locked_fresh_adjudicated,fine_8_accuracy,ALL,0.443038
old_train_only,word_unigram_nb,locked_fresh_adjudicated,coarse_5_accuracy,ALL,0.556962
old_train_only,word_unigram_nb,locked_fresh_adjudicated,coarse_4_accuracy,ALL,0.620253
old_train_only,word_unigram_nb,locked_fresh_adjudicated,coarse_3_accuracy,ALL,0.810127
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,BACKGROUND,0.470588
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,CLAIM,0.250000
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,DEFINE,0.352941
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,METHOD,0.320000
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,RESULT,0.428571
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,LIMITATION,0.600000
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,NEXT_STEP,0.666667
old_train_only,word_unigram_nb,locked_fresh_adjudicated,per_role_f1,EXAMPLE,0.538462
old_train_only,word_unigram_nb,expanded_test_v2,fine_8_accuracy,ALL,0.476190
old_train_only,word_unigram_nb,expanded_test_v2,coarse_5_accuracy,ALL,0.523810
old_train_only,word_unigram_nb,expanded_test_v2,coarse_4_accuracy,ALL,0.559524
old_train_only,word_unigram_nb,expanded_test_v2,coarse_3_accuracy,ALL,0.726190
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,BACKGROUND,0.545455
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,CLAIM,0.000000
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,DEFINE,0.333333
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,METHOD,0.687500
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,RESULT,0.421053
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,LIMITATION,0.400000
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,NEXT_STEP,0.352941
old_train_only,word_unigram_nb,expanded_test_v2,per_role_f1,EXAMPLE,0.695652
