taxonomy,model,group,accuracy,precision,recall,f1,support
A_8_role_original,pred_word_unigram_nb,BACKGROUND,0.443038,0.571429,0.400000,0.470588,10
A_8_role_original,pred_word_unigram_nb,CLAIM,0.443038,0.214286,0.300000,0.250000,10
A_8_role_original,pred_word_unigram_nb,DEFINE,0.443038,0.428571,0.300000,0.352941,10
A_8_role_original,pred_word_unigram_nb,EXAMPLE,0.443038,0.437500,0.700000,0.538462,10
A_8_role_original,pred_word_unigram_nb,LIMITATION,0.443038,0.600000,0.600000,0.600000,10
A_8_role_original,pred_word_unigram_nb,METHOD,0.443038,0.266667,0.400000,0.320000,10
A_8_role_original,pred_word_unigram_nb,NEXT_STEP,0.443038,0.833333,0.555556,0.666667,9
A_8_role_original,pred_word_unigram_nb,RESULT,0.443038,0.750000,0.300000,0.428571,10
A_8_role_original,pred_word_unigram_bigram_nb,BACKGROUND,0.443038,0.500000,0.200000,0.285714,10
A_8_role_original,pred_word_unigram_bigram_nb,CLAIM,0.443038,0.230769,0.300000,0.260870,10
A_8_role_original,pred_word_unigram_bigram_nb,DEFINE,0.443038,0.461538,0.600000,0.521739,10
A_8_role_original,pred_word_unigram_bigram_nb,EXAMPLE,0.443038,0.461538,0.600000,0.521739,10
A_8_role_original,pred_word_unigram_bigram_nb,LIMITATION,0.443038,0.666667,0.600000,0.631579,10
A_8_role_original,pred_word_unigram_bigram_nb,METHOD,0.443038,0.230769,0.300000,0.260870,10
A_8_role_original,pred_word_unigram_bigram_nb,NEXT_STEP,0.443038,0.625000,0.555556,0.588235,9
A_8_role_original,pred_word_unigram_bigram_nb,RESULT,0.443038,0.666667,0.400000,0.500000,10
A_8_role_original,pred_char_3_5gram_nb,BACKGROUND,0.405063,0.666667,0.200000,0.307692,10
A_8_role_original,pred_char_3_5gram_nb,CLAIM,0.405063,0.307692,0.400000,0.347826,10
A_8_role_original,pred_char_3_5gram_nb,DEFINE,0.405063,0.857143,0.600000,0.705882,10
A_8_role_original,pred_char_3_5gram_nb,EXAMPLE,0.405063,0.363636,0.400000,0.380952,10
A_8_role_original,pred_char_3_5gram_nb,LIMITATION,0.405063,0.625000,0.500000,0.555556,10
A_8_role_original,pred_char_3_5gram_nb,METHOD,0.405063,0.200000,0.500000,0.285714,10
A_8_role_original,pred_char_3_5gram_nb,NEXT_STEP,0.405063,0.571429,0.444444,0.500000,9
A_8_role_original,pred_char_3_5gram_nb,RESULT,0.405063,0.400000,0.200000,0.266667,10
A_8_role_original,pred_centroid,BACKGROUND,0.455696,0.400000,0.200000,0.266667,10
A_8_role_original,pred_centroid,CLAIM,0.455696,0.266667,0.400000,0.320000,10
A_8_role_original,pred_centroid,DEFINE,0.455696,0.466667,0.700000,0.560000,10
A_8_role_original,pred_centroid,EXAMPLE,0.455696,0.583333,0.700000,0.636364,10
A_8_role_original,pred_centroid,LIMITATION,0.455696,0.750000,0.600000,0.666667,10
A_8_role_original,pred_centroid,METHOD,0.455696,0.307692,0.400000,0.347826,10
A_8_role_original,pred_centroid,NEXT_STEP,0.455696,0.800000,0.444444,0.571429,9
A_8_role_original,pred_centroid,RESULT,0.455696,0.333333,0.200000,0.250000,10
B_5_role_compressed,pred_word_unigram_nb,ACTION,0.556962,0.476190,0.526316,0.500000,19
B_5_role_compressed,pred_word_unigram_nb,ASSERTION,0.556962,0.680000,0.566667,0.618182,30
B_5_role_compressed,pred_word_unigram_nb,CAVEAT,0.556962,0.600000,0.600000,0.600000,10
B_5_role_compressed,pred_word_unigram_nb,CONTEXT,0.556962,0.571429,0.400000,0.470588,10
B_5_role_compressed,pred_word_unigram_nb,INSTANCE,0.556962,0.437500,0.700000,0.538462,10
B_5_role_compressed,pred_word_unigram_bigram_nb,ACTION,0.556962,0.428571,0.473684,0.450000,19
B_5_role_compressed,pred_word_unigram_bigram_nb,ASSERTION,0.556962,0.656250,0.700000,0.677419,30
B_5_role_compressed,pred_word_unigram_bigram_nb,CAVEAT,0.556962,0.666667,0.600000,0.631579,10
B_5_role_compressed,pred_word_unigram_bigram_nb,CONTEXT,0.556962,0.500000,0.200000,0.285714,10
B_5_role_compressed,pred_word_unigram_bigram_nb,INSTANCE,0.556962,0.461538,0.600000,0.521739,10
B_5_role_compressed,pred_char_3_5gram_nb,ACTION,0.481013,0.375000,0.631579,0.470588,19
B_5_role_compressed,pred_char_3_5gram_nb,ASSERTION,0.481013,0.600000,0.500000,0.545455,30
B_5_role_compressed,pred_char_3_5gram_nb,CAVEAT,0.481013,0.625000,0.500000,0.555556,10
B_5_role_compressed,pred_char_3_5gram_nb,CONTEXT,0.481013,0.666667,0.200000,0.307692,10
B_5_role_compressed,pred_char_3_5gram_nb,INSTANCE,0.481013,0.363636,0.400000,0.380952,10
B_5_role_compressed,pred_centroid,ACTION,0.582278,0.500000,0.473684,0.486486,19
B_5_role_compressed,pred_centroid,ASSERTION,0.582278,0.611111,0.733333,0.666667,30
B_5_role_compressed,pred_centroid,CAVEAT,0.582278,0.750000,0.600000,0.666667,10
B_5_role_compressed,pred_centroid,CONTEXT,0.582278,0.400000,0.200000,0.266667,10
B_5_role_compressed,pred_centroid,INSTANCE,0.582278,0.583333,0.700000,0.636364,10
C_4_role_compressed,pred_word_unigram_nb,ACTION,0.620253,0.594595,0.758621,0.666667,29
C_4_role_compressed,pred_word_unigram_nb,CAVEAT,0.620253,0.600000,0.600000,0.600000,10
C_4_role_compressed,pred_word_unigram_nb,CONTENT,0.620253,0.680000,0.566667,0.618182,30
C_4_role_compressed,pred_word_unigram_nb,CONTEXT,0.620253,0.571429,0.400000,0.470588,10
C_4_role_compressed,pred_word_unigram_bigram_nb,ACTION,0.632911,0.617647,0.724138,0.666667,29
C_4_role_compressed,pred_word_unigram_bigram_nb,CAVEAT,0.632911,0.666667,0.600000,0.631579,10
C_4_role_compressed,pred_word_unigram_bigram_nb,CONTENT,0.632911,0.656250,0.700000,0.677419,30
C_4_role_compressed,pred_word_unigram_bigram_nb,CONTEXT,0.632911,0.500000,0.200000,0.285714,10
C_4_role_compressed,pred_char_3_5gram_nb,ACTION,0.556962,0.511628,0.758621,0.611111,29
C_4_role_compressed,pred_char_3_5gram_nb,CAVEAT,0.556962,0.625000,0.500000,0.555556,10
C_4_role_compressed,pred_char_3_5gram_nb,CONTENT,0.556962,0.600000,0.500000,0.545455,30
C_4_role_compressed,pred_char_3_5gram_nb,CONTEXT,0.556962,0.666667,0.200000,0.307692,10
C_4_role_compressed,pred_centroid,ACTION,0.620253,0.633333,0.655172,0.644068,29
C_4_role_compressed,pred_centroid,CAVEAT,0.620253,0.750000,0.600000,0.666667,10
