model,train_size,seed,actual_train_rows,accuracy
simple_centroid_tfidf_like,20,1,20,0.189873
simple_centroid_tfidf_like,20,2,20,0.202532
simple_centroid_tfidf_like,20,3,20,0.253165
simple_centroid_tfidf_like,20,4,20,0.253165
simple_centroid_tfidf_like,20,5,20,0.291139
simple_centroid_tfidf_like,40,1,40,0.240506
simple_centroid_tfidf_like,40,2,40,0.265823
simple_centroid_tfidf_like,40,3,40,0.265823
simple_centroid_tfidf_like,40,4,40,0.278481
simple_centroid_tfidf_like,40,5,40,0.303797
simple_centroid_tfidf_like,60,1,60,0.303797
simple_centroid_tfidf_like,60,2,60,0.303797
simple_centroid_tfidf_like,60,3,60,0.265823
simple_centroid_tfidf_like,60,4,60,0.379747
simple_centroid_tfidf_like,60,5,60,0.329114
simple_centroid_tfidf_like,80,1,80,0.354430
simple_centroid_tfidf_like,80,2,80,0.303797
simple_centroid_tfidf_like,80,3,80,0.341772
simple_centroid_tfidf_like,80,4,80,0.341772
simple_centroid_tfidf_like,80,5,80,0.367089
simple_centroid_tfidf_like,120,1,120,0.405063
simple_centroid_tfidf_like,120,2,120,0.405063
simple_centroid_tfidf_like,120,3,120,0.379747
simple_centroid_tfidf_like,120,4,120,0.455696
simple_centroid_tfidf_like,120,5,120,0.417722
simple_centroid_tfidf_like,all,1,179,0.455696
simple_centroid_tfidf_like,all,2,179,0.455696
simple_centroid_tfidf_like,all,3,179,0.455696
simple_centroid_tfidf_like,all,4,179,0.455696
simple_centroid_tfidf_like,all,5,179,0.455696
word_unigram_bigram_nb,20,1,20,0.177215
word_unigram_bigram_nb,20,2,20,0.215190
word_unigram_bigram_nb,20,3,20,0.151899
word_unigram_bigram_nb,20,4,20,0.202532
word_unigram_bigram_nb,20,5,20,0.227848
word_unigram_bigram_nb,40,1,40,0.265823
word_unigram_bigram_nb,40,2,40,0.227848
word_unigram_bigram_nb,40,3,40,0.265823
word_unigram_bigram_nb,40,4,40,0.240506
word_unigram_bigram_nb,40,5,40,0.303797
word_unigram_bigram_nb,60,1,60,0.291139
word_unigram_bigram_nb,60,2,60,0.240506
word_unigram_bigram_nb,60,3,60,0.227848
word_unigram_bigram_nb,60,4,60,0.253165
word_unigram_bigram_nb,60,5,60,0.303797
word_unigram_bigram_nb,80,1,80,0.392405
word_unigram_bigram_nb,80,2,80,0.341772
word_unigram_bigram_nb,80,3,80,0.303797
word_unigram_bigram_nb,80,4,80,0.316456
word_unigram_bigram_nb,80,5,80,0.341772
word_unigram_bigram_nb,120,1,120,0.417722
word_unigram_bigram_nb,120,2,120,0.367089
word_unigram_bigram_nb,120,3,120,0.354430
word_unigram_bigram_nb,120,4,120,0.430380
word_unigram_bigram_nb,120,5,120,0.392405
word_unigram_bigram_nb,all,1,179,0.443038
word_unigram_bigram_nb,all,2,179,0.443038
word_unigram_bigram_nb,all,3,179,0.443038
word_unigram_bigram_nb,all,4,179,0.443038
word_unigram_bigram_nb,all,5,179,0.443038
